time,steam_flow,steam_p,steam_t,feedwater_t,o2,fluegas_t
2024-02-01 00:00:00,27.05,3.8896,405.04,104.18,7.95,211.1
2024-02-01 01:00:00,26.033,3.8935,403.04,103.79,8.0,191.4
2024-02-01 02:00:00,26.177,3.8718,404.38,104.29,6.54,191.4
2024-02-01 03:00:00,25.88,3.8571,404.71,105.18,8.24,189.7
2024-02-01 04:00:00,25.663,3.8812,401.25,104.78,6.41,184.5
2024-02-01 05:00:00,26.235,3.9214,397.1,103.72,6.55,178.1
2024-02-01 06:00:00,26.67,3.9137,400.16,103.5,6.78,182.9
2024-02-01 07:00:00,26.354,3.8793,398.37,104.89,7.51,187.4
2024-02-01 08:00:00,26.761,3.933,402.78,101.88,8.75,192.9
2024-02-01 09:00:00,27.007,3.9308,397.5,103.94,9.51,211.2
2024-02-01 10:00:00,24.566,3.7691,405.03,102.86,7.64,196.5
2024-02-01 11:00:00,26.982,3.8396,401.79,104.4,6.36,182.9
2024-02-01 12:00:00,26.969,3.9451,397.48,104.39,7.9,178.2
2024-02-01 13:00:00,27.01,3.8843,399.66,101.78,6.93,192.0
2024-02-01 14:00:00,26.246,3.9668,402.38,104.83,8.09,194.4
2024-02-01 15:00:00,26.511,3.9086,404.57,106.86,9.45,183.3
2024-02-01 16:00:00,25.725,3.8866,402.29,104.54,8.2,205.6
2024-02-01 17:00:00,25.834,3.9403,399.57,103.49,8.55,181.3
2024-02-01 18:00:00,26.701,3.8584,396.8,105.71,7.68,205.2
2024-02-01 19:00:00,25.841,3.8774,398.88,104.57,6.59,184.1
2024-02-01 20:00:00,25.282,3.8349,400.02,104.02,9.14,206.9
2024-02-01 21:00:00,26.873,3.8941,403.61,104.08,8.67,185.3
2024-02-01 22:00:00,24.853,3.9162,396.91,104.51,8.23,194.8
2024-02-01 23:00:00,26.862,3.9205,398.86,105.43,8.08,178.7
2024-02-02 00:00:00,24.119,3.9665,401.41,105.19,8.38,182.9
2024-02-02 01:00:00,25.754,3.9322,405.42,101.84,6.7,187.1
2024-02-02 02:00:00,25.201,3.9712,402.96,105.43,8.26,184.9
2024-02-02 03:00:00,24.506,3.8983,401.93,105.18,7.49,184.7
2024-02-02 04:00:00,25.503,3.8441,401.02,102.59,8.16,196.3
2024-02-02 05:00:00,23.556,3.9114,400.91,102.61,9.38,189.6
2024-02-02 06:00:00,25.545,3.8279,395.43,103.37,8.75,193.5
2024-02-02 07:00:00,24.423,3.8597,399.85,104.98,8.75,188.6
2024-02-02 08:00:00,23.893,3.9048,405.29,105.58,8.1,180.1
2024-02-02 09:00:00,24.317,3.8839,398.3,98.12,9.29,179.1
2024-02-02 10:00:00,24.291,3.8928,400.74,102.17,7.55,182.1
2024-02-02 11:00:00,25.189,3.8599,395.6,101.9,8.62,194.5
2024-02-02 12:00:00,22.593,3.8554,399.2,102.12,8.33,192.3
2024-02-02 13:00:00,25.458,3.861,401.26,107.81,8.51,192.1
2024-02-02 14:00:00,25.21,3.9831,399.7,105.44,9.58,188.4
2024-02-02 15:00:00,23.961,3.9461,401.71,105.13,8.14,187.5
2024-02-02 16:00:00,24.129,3.9081,394.68,104.95,9.69,185.0
2024-02-02 17:00:00,23.401,3.9772,402.4,104.86,7.29,178.4
2024-02-02 18:00:00,24.884,3.9562,398.83,105.33,8.73,192.5
2024-02-02 19:00:00,23.726,3.8814,396.84,100.88,6.3,193.1
2024-02-02 20:00:00,24.72,3.8715,399.66,106.74,8.24,201.2
2024-02-02 21:00:00,25.349,3.8469,402.96,101.88,8.5,180.6
2024-02-02 22:00:00,24.962,3.8478,398.04,105.49,7.69,187.4
2024-02-02 23:00:00,25.07,3.9395,398.89,105.03,8.68,189.5
2024-02-03 00:00:00,27.561,3.9256,401.34,105.4,9.29,190.4
2024-02-03 01:00:00,28.593,3.9394,398.86,103.97,8.88,200.7
2024-02-03 02:00:00,28.785,3.8947,399.26,102.16,7.22,183.3
2024-02-03 03:00:00,27.699,3.8692,402.14,103.24,7.71,203.3
2024-02-03 04:00:00,27.772,3.892,404.18,102.57,8.23,178.6
2024-02-03 05:00:00,27.976,3.9324,399.27,103.56,9.08,191.8
2024-02-03 06:00:00,26.542,3.8262,404.08,106.38,8.94,198.0
