date,phase1_input,phase2_input,msw_in,isw_a,isw_b
2024-02-01,456.7,357.5,783.3,0.0,0.0
2024-02-02,450.8,325.4,805.4,0.0,0.0
2024-02-03,478.1,355.9,663.5,0.0,0.0
2024-02-04,472.4,326.6,836.2,0.0,0.0
2024-02-05,478.9,354.6,820.9,0.0,0.0
2024-02-06,453.5,185.4,806.6,0.0,0.0
2024-02-07,471.8,363.8,832.2,0.0,0.0
2024-02-08,459.9,342.0,755.7,0.0,0.0
2024-02-09,455.2,353.1,796.9,0.0,0.0
2024-02-10,414.7,360.4,765.0,0.0,0.0
2024-02-11,503.1,295.8,785.4,0.0,0.0
2024-02-12,470.0,341.7,836.8,0.0,0.0
2024-02-13,466.6,350.3,812.1,0.0,0.0
2024-02-14,463.1,282.3,822.9,0.0,0.0
2024-02-15,457.1,366.8,788.7,0.0,0.0
2024-02-16,451.2,345.5,772.0,0.0,0.0
2024-02-17,456.8,359.8,818.4,0.0,0.0
2024-02-18,447.3,331.6,792.0,0.0,0.0
2024-02-19,461.0,320.8,766.3,0.0,0.0
2024-02-20,479.1,361.6,819.9,0.0,0.0
2024-02-21,459.0,344.7,822.9,0.0,0.0
2024-02-22,460.7,305.3,804.2,0.0,0.0
2024-02-23,467.0,340.8,822.9,0.0,0.0
2024-02-24,479.1,363.9,827.3,0.0,0.0
2024-02-25,505.9,343.5,857.3,0.0,0.0
2024-02-26,475.6,355.9,853.0,0.0,0.0
2024-02-27,446.9,348.2,789.6,0.0,0.0
2024-02-28,498.7,351.4,854.1,0.0,0.0
2024-02-29,480.3,377.4,840.1,0.0,0.0
2024-03-01,445.7,342.7,777.0,0.0,0.0
2024-03-02,500.0,355.4,847.2,0.0,0.0
2024-03-03,423.4,359.8,768.2,0.0,0.0
2024-03-04,452.0,331.3,811.7,0.0,0.0
2024-03-05,458.8,347.2,789.8,0.0,0.0
2024-03-06,484.3,344.8,804.4,0.0,0.0
2024-03-07,479.1,359.7,814.8,0.0,0.0
2024-03-08,496.3,331.0,852.5,0.0,0.0
2024-03-09,474.9,320.1,827.6,0.0,0.0
2024-03-10,456.1,335.7,763.7,0.0,0.0
2024-03-11,496.9,356.2,838.0,0.0,0.0
2024-03-12,472.0,352.7,802.2,0.0,0.0
2024-03-13,482.5,307.6,826.5,0.0,0.0
2024-03-14,511.1,341.1,863.8,0.0,0.0
2024-03-15,490.6,330.2,841.7,0.0,0.0
2024-03-16,477.8,344.0,790.8,0.0,0.0
2024-03-17,478.5,352.7,806.2,0.0,0.0
2024-03-18,492.1,351.1,840.5,0.0,0.0
2024-03-19,473.1,313.0,837.6,0.0,0.0
2024-03-20,436.4,327.7,450.7,0.0,0.0
2024-03-21,458.1,348.4,473.3,0.0,0.0
2024-03-22,473.3,364.5,824.7,0.0,0.0
2024-03-23,436.3,14.3,768.5,0.0,0.0
2024-03-24,480.5,15.2,802.4,0.0,0.0
2024-03-25,490.1,351.4,820.1,0.0,0.0
2024-03-26,446.5,332.2,792.1,0.0,0.0
2024-03-27,445.7,321.9,742.4,0.0,0.0
2024-03-28,473.7,330.0,809.0,0.0,0.0
2024-03-29,466.5,345.6,812.9,0.0,0.0
2024-03-30,427.5,296.7,555.1,0.0,0.0
2024-03-31,459.1,335.3,624.4,0.0,0.0
2024-04-01,466.3,346.4,796.1,0.0,0.0
2024-04-02,446.2,127.6,828.4,0.0,0.0
2024-04-03,464.8,165.3,845.3,0.0,0.0
2024-04-04,472.5,329.8,817.7,0.0,0.0
2024-04-05,445.9,382.2,817.1,0.0,0.0
2024-04-06,498.0,380.5,839.1,0.0,0.0
2024-04-07,500.0,345.2,674.3,0.0,0.0
2024-04-08,474.1,371.2,820.6,0.0,0.0
2024-04-09,475.5,341.1,819.2,0.0,0.0
2024-04-10,520.6,174.3,841.5,0.0,0.0
2024-04-11,443.1,346.5,793.9,0.0,0.0
2024-04-12,475.1,343.7,832.7,0.0,0.0
2024-04-13,505.1,320.9,881.7,0.0,0.0
2024-04-14,449.7,350.8,811.1,0.0,0.0
2024-04-15,530.1,357.6,717.0,0.0,0.0
2024-04-16,453.0,376.6,809.1,0.0,0.0
2024-04-17,483.6,361.4,817.4,0.0,0.0
2024-04-18,478.2,186.9,831.5,0.0,0.0
2024-04-19,477.0,356.1,821.4,0.0,0.0
2024-04-20,435.7,333.8,781.3,0.0,0.0
2024-04-21,459.0,353.3,809.4,0.0,0.0
2024-04-22,463.7,344.4,839.6,0.0,0.0
2024-04-23,459.4,345.6,809.7,0.0,0.0
2024-04-24,469.6,350.4,821.0,0.0,0.0
2024-04-25,453.7,375.9,808.7,0.0,0.0
2024-04-26,476.1,350.3,678.0,0.0,0.0
2024-04-27,440.0,351.4,776.3,0.0,0.0
2024-04-28,489.7,355.0,822.8,0.0,0.0
2024-04-29,476.7,201.9,810.7,0.0,0.0
2024-04-30,473.7,336.3,815.4,0.0,0.0
2024-05-01,485.7,333.1,807.8,0.0,0.0
2024-05-02,495.7,334.0,835.7,0.0,0.0
2024-05-03,481.6,341.7,842.5,0.0,0.0
2024-05-04,436.5,322.1,743.4,0.0,0.0
2024-05-05,449.4,340.0,805.3,0.0,0.0
2024-05-06,455.0,360.9,826.7,0.0,0.0
2024-05-07,493.2,306.9,828.4,0.0,0.0
2024-05-08,481.0,355.9,821.0,0.0,0.0
2024-05-09,501.5,371.7,680.3,0.0,0.0
2024-05-10,501.8,335.2,843.2,0.0,0.0
2024-05-11,494.7,340.0,815.0,0.0,0.0
2024-05-12,506.5,178.8,902.3,0.0,0.0
2024-05-13,436.2,341.4,768.1,0.0,0.0
2024-05-14,477.4,320.3,846.8,0.0,0.0
2024-05-15,480.2,395.8,857.7,0.0,0.0
2024-05-16,467.4,331.9,817.3,0.0,0.0
2024-05-17,427.3,369.4,766.1,0.0,0.0
2024-05-18,468.6,377.5,777.4,0.0,0.0
2024-05-19,497.5,349.9,842.7,0.0,0.0
2024-05-20,418.7,338.8,762.1,0.0,0.0
2024-05-21,451.6,308.8,801.3,0.0,0.0
2024-05-22,476.0,345.2,794.6,0.0,0.0
2024-05-23,465.9,343.4,618.0,0.0,0.0
2024-05-24,448.0,349.7,798.7,0.0,0.0
2024-05-25,446.4,318.6,789.5,0.0,0.0
2024-05-26,454.5,152.1,826.3,0.0,0.0
2024-05-27,476.4,350.7,784.9,0.0,0.0
2024-05-28,502.2,343.1,839.8,0.0,0.0
2024-05-29,487.3,371.8,836.3,0.0,0.0
2024-05-30,460.0,308.5,777.9,0.0,0.0
2024-05-31,507.9,337.6,859.1,0.0,0.0
2024-06-01,453.3,349.0,818.9,0.0,0.0
2024-06-02,446.0,317.9,802.6,0.0,0.0
2024-06-03,424.5,351.2,745.9,0.0,0.0
2024-06-04,463.2,365.6,819.8,0.0,0.0
2024-06-05,468.9,356.6,811.2,0.0,0.0
2024-06-06,487.4,321.4,841.3,0.0,0.0
2024-06-07,462.0,356.6,811.8,0.0,0.0
2024-06-08,450.9,342.3,820.7,0.0,0.0
2024-06-09,462.1,353.9,791.8,0.0,0.0
2024-06-10,433.9,349.8,784.8,0.0,0.0
2024-06-11,447.0,369.8,812.6,0.0,0.0
2024-06-12,458.0,329.7,801.6,0.0,0.0
2024-06-13,479.7,350.9,826.0,0.0,0.0
2024-06-14,481.7,365.6,815.1,0.0,0.0
2024-06-15,482.5,343.6,820.3,0.0,0.0
2024-06-16,483.9,346.3,829.8,0.0,0.0
2024-06-17,496.8,333.4,822.4,0.0,0.0
2024-06-18,438.9,337.8,839.3,0.0,0.0
2024-06-19,453.7,345.9,778.1,0.0,0.0
2024-06-20,472.9,325.6,827.8,0.0,0.0
2024-06-21,489.7,400.4,831.8,0.0,0.0
2024-06-22,437.8,324.4,776.1,0.0,0.0
2024-06-23,484.0,354.9,834.0,0.0,0.0
2024-06-24,459.9,342.1,809.4,0.0,0.0
2024-06-25,467.6,338.3,797.0,0.0,0.0
2024-06-26,411.1,350.0,762.2,0.0,0.0
2024-06-27,504.9,349.5,856.8,0.0,0.0
2024-06-28,495.4,329.4,824.8,0.0,0.0
2024-06-29,472.1,351.1,823.2,0.0,0.0
2024-06-30,485.7,351.9,837.6,0.0,0.0
